Position,Team,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
SP,TB,Zach Eflin,29,10,5,0,3,18,18,0,0,0,0,105.1,93,42,42,11,15,0,105,2,0,0,416,114,3.13,1.025,7.9,0.9,1.3,9.0,7
SP,TB,Shane McClanahan,26,11,1,0,2,18,18,0,0,0,0,102.0,77,29,29,12,38,0,107,0,0,1,409,160,3.84,1.127,6.8,1.1,3.4,9.4,2
SP,TB,Taj Bradley,22,5,6,0,5,14,14,0,0,0,0,66.1,71,42,39,12,21,0,89,1,0,3,291,77,3.95,1.387,9.6,1.6,2.8,12.1,4
SP,TB,Tyler Glasnow,29,3,3,0,3,10,10,0,0,0,0,54.2,47,24,22,8,18,0,80,1,0,6,229,113,3.3,1.189,7.7,1.3,3.0,13.2,4
SP,TB,Drew Rasmussen,27,4,2,0,2,8,8,0,0,0,0,44.2,36,13,13,2,11,0,47,1,0,2,177,157,2.57,1.052,7.3,0.4,2.2,9.5,4
CL,TB,Jason Adam,31,2,2,0,2,42,0,18,0,0,11,40.1,26,15,12,4,16,0,50,9,0,0,170,154,3.96,1.041,5.8,0.9,3.6,11.2,3
RP,TB,Kevin Kelly,25,4,1,0,3,37,0,4,0,0,1,42.2,34,15,15,1,11,1,35,7,0,0,176,130,3.22,1.055,7.2,0.2,2.3,7.4,3
RP,TB,Jalen Beeks,29,2,3,0,6,27,7,6,0,0,1,37.1,36,26,26,4,19,0,40,1,0,3,169,66,4.14,1.473,8.7,1.0,4.6,9.6,2
RP,TB,Colin Poche,29,7,2,0,2,39,0,4,0,0,1,35.0,24,10,8,3,17,0,28,1,0,2,147,200,4.34,1.171,6.2,0.8,4.4,7.2,1
P,TB,Yonny Chirinos,29,4,4,0,4,15,4,1,0,0,0,62.2,58,30,28,10,20,0,31,4,0,2,262,102,5.52,1.245,8.3,1.4,2.9,4.5,1
P,TB,Josh Fleming,27,1,0,1,4,11,3,1,0,0,0,48.2,51,27,25,9,19,2,24,0,0,2,207,89,5.88,1.438,9.4,1.7,3.5,4.4,1
P,TB,Cooper Criswell,26,1,1,0,5,7,0,2,0,0,0,25.0,29,14,14,3,8,1,24,4,0,2,111,82,4.37,1.48,10.4,1.1,2.9,8.6,3
P,TB,Pete Fairbanks,29,0,3,0,1,22,0,18,0,0,10,20.0,11,5,4,1,8,0,21,1,0,3,79,231,3.19,0.95,5.0,0.5,3.6,9.5,2
P,TB,Calvin Faucher,27,1,1,0,5,14,4,3,0,0,0,20.0,21,12,12,2,11,0,17,1,0,4,93,77,4.69,1.6,9.5,0.9,5.0,7.7,1
P,TB,Zack Littell,27,0,2,0,5,13,3,4,0,0,0,19.2,27,11,11,4,2,0,21,0,0,1,87,83,4.1,1.475,12.4,1.8,0.9,9.6,10
P,TB,Ryan Thompson,31,1,2,0,6,18,0,3,0,0,0,17.2,14,13,12,2,7,0,12,3,0,2,76,68,5.1,1.189,7.1,1.0,3.6,6.1,1
P,TB,Robert Stephenson,30,1,1,0,3,18,0,5,0,0,0,16.1,10,7,6,2,5,0,24,0,0,0,63,126,2.86,0.918,5.5,1.1,2.8,13.2,4
P,TB,Jeffrey Springs,30,2,0,1,0,3,3,0,0,0,0,16.0,4,1,1,1,4,0,24,0,0,0,55,742,1.85,0.5,2.3,0.6,2.3,13.5,6
P,TB,Trevor Kelley,30,0,1,0,4,9,3,2,0,0,0,13.1,12,6,6,3,4,1,8,2,1,1,57,103,6.36,1.2,8.1,2.0,2.7,5.4,2
P,TB,Garrett Cleavinger,29,1,0,1,3,15,0,3,0,0,0,12.0,6,5,4,2,6,0,14,1,0,1,48,140,4.87,1.0,4.5,1.5,4.5,10.5,2
