Position,Team,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
SP,TEX,Nathan Eovaldi,33,11,3,0,2,19,19,0,2,1,0,123.2,91,38,37,8,34,0,111,4,0,2,479,161,3.25,1.011,6.6,0.6,2.5,8.1,3
SP,TEX,Jon Gray,31,6,5,0,3,18,18,0,1,0,0,103.1,89,40,38,13,34,1,83,6,0,4,419,131,4.48,1.19,7.8,1.1,3.0,7.2,2
SP,TEX,Dane Dunning,28,8,2,0,2,21,13,2,0,0,0,99.0,85,33,31,7,25,0,63,7,0,4,399,154,3.9,1.111,7.7,0.6,2.3,5.7,2
SP,TEX,Martín Pérez,32,7,3,0,4,18,18,0,0,0,0,96.2,109,56,52,17,36,0,62,1,2,0,425,90,5.44,1.5,10.1,1.6,3.4,5.8,1
SP,TEX,Andrew Heaney,32,6,6,0,4,18,18,0,0,0,0,91.1,85,50,45,17,37,0,97,7,0,1,395,98,5.03,1.336,8.4,1.7,3.6,9.6,2
CL,TEX,Will Smith,33,1,3,0,2,36,0,28,0,0,17,36.0,21,12,11,2,8,2,38,0,0,1,135,159,2.56,0.806,5.3,0.5,2.0,9.5,4
RP,TEX,Brock Burke,26,4,2,0,2,31,0,4,0,0,0,38.2,37,14,12,5,6,3,30,2,0,0,159,156,4.04,1.112,8.6,1.2,1.4,7.0,5
RP,TEX,Josh Sborz,29,4,4,0,4,29,0,5,0,0,0,37.2,28,19,19,4,13,0,52,1,0,2,153,96,3.02,1.088,6.7,1.0,3.1,12.4,4
RP,TEX,José Leclerc,29,0,1,0,3,29,0,16,0,0,1,28.2,21,12,10,3,16,1,30,0,0,2,119,140,4.23,1.291,6.6,0.9,5.0,9.4,1
RP,TEX,Jonathan Hernández,26,1,1,0,6,25,0,4,0,0,0,21.2,24,16,16,4,11,0,23,3,0,2,101,66,5.5,1.615,10.0,1.7,4.6,9.6,2
P,TEX,Cody Bradford,25,2,1,0,4,9,5,2,0,0,0,30.2,27,16,16,6,8,0,29,1,0,0,125,93,4.82,1.141,7.9,1.8,2.3,8.5,3
P,TEX,Jacob deGrom,35,2,0,1,2,6,6,0,0,0,0,30.1,19,11,9,2,4,0,45,0,0,1,115,164,1.57,0.758,5.6,0.6,1.2,13.4,11
P,TEX,Grant Anderson,26,1,1,0,4,18,0,1,0,0,0,26.0,25,12,12,3,6,0,22,0,0,0,105,106,3.79,1.192,8.7,1.0,2.1,7.6,3
P,TEX,Cole Ragans,25,2,3,0,5,17,0,1,0,0,0,24.1,20,17,16,4,14,1,24,1,0,2,106,74,5.3,1.397,7.4,1.5,5.2,8.9,1
P,TEX,John King,28,1,1,0,5,15,0,8,0,0,0,18.2,26,12,12,1,4,0,10,0,0,0,81,76,3.55,1.607,12.5,0.5,1.9,4.8,2
P,TEX,Ian Kennedy,38,0,1,0,7,11,0,5,0,0,0,10.0,11,10,8,1,3,0,13,1,0,0,46,62,3.19,1.4,9.9,0.9,2.7,11.7,4
P,TEX,Joe Barlow,27,1,1,0,4,13,0,4,0,0,0,9.2,13,5,5,2,2,0,6,0,0,0,44,96,5.35,1.552,12.1,1.9,1.9,5.6,3
P,TEX,Owen White,23,0,1,0,13,1,0,0,0,0,0,2.0,4,3,3,1,1,0,2,0,0,0,11,38,9.29,2.5,18.0,4.5,4.5,9.0,2
