Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Adley Rutschman#,25,92,408,350,48,96,16,0,13,42,0,1,56,64,0.274,0.373,0.431,0.804,126,151,8,0,0,2,5,rutscad01
2,1B,Ryan Mountcastle,26,67,276,257,36,60,14,1,11,41,2,0,12,67,0.233,0.268,0.424,0.692,91,109,8,2,0,5,0,mountry01
3,2B,Adam Frazier*,31,89,313,281,41,66,12,1,12,45,7,3,24,35,0.235,0.301,0.413,0.714,98,116,3,3,3,1,0,fraziad01
4,SS,Jorge Mateo,28,81,258,234,38,50,11,1,6,29,23,3,16,63,0.214,0.264,0.346,0.61,70,81,5,1,3,3,0,mateojo01
5,3B,Gunnar Henderson*,22,86,336,292,50,72,12,5,15,41,5,2,41,95,0.247,0.342,0.476,0.818,127,139,5,2,0,1,1,hendegu01
6,LF,Austin Hays,27,85,337,313,47,94,23,2,9,37,2,1,19,80,0.3,0.338,0.473,0.811,125,148,4,1,0,4,0,haysau01
7,CF,Cedric Mullins* (10-day IL),28,69,290,251,33,65,16,3,9,47,14,3,35,58,0.259,0.347,0.454,0.801,123,114,3,0,2,2,0,mullice01
8,RF,Anthony Santander#,28,92,394,350,51,95,25,1,17,54,3,1,37,88,0.271,0.345,0.494,0.839,133,173,5,4,0,3,1,santaan02
9,DH,Ryan O'Hearn*,29,52,170,154,22,47,10,0,7,30,1,1,11,38,0.305,0.353,0.506,0.859,138,78,1,2,0,3,1,ohearry01
10,3B,Ramón Urías,29,67,244,220,29,57,19,0,4,33,3,1,17,62,0.259,0.328,0.4,0.728,104,88,7,6,0,1,0,uriasra01
11,CF,Aaron Hicks#,33,38,142,122,24,33,4,1,6,20,3,0,19,30,0.27,0.366,0.467,0.833,133,57,0,0,0,1,0,hicksaa01
12,C,James McCann,33,37,118,110,10,21,6,0,3,8,1,0,3,25,0.191,0.224,0.327,0.551,53,36,3,2,2,1,0,mccanja02
13,OF,Ryan McKenna (40-man),26,62,89,79,16,20,5,0,2,11,1,0,5,26,0.253,0.315,0.392,0.707,98,31,3,3,0,2,0,mckenry01
14,IF,Jordan Westburg,24,17,63,58,9,16,4,2,0,7,0,1,4,11,0.276,0.333,0.414,0.747,109,24,1,1,0,0,0,westbjo01
15,UT,Terrin Vavra* (7-day IL),26,27,56,49,9,12,0,0,0,5,1,0,5,12,0.245,0.315,0.245,0.56,61,12,5,0,2,0,0,vavrate01
16,OF,Colton Cowser*,23,11,40,30,9,4,0,0,0,3,0,0,7,5,0.133,0.325,0.133,0.458,37,4,1,2,0,1,0,cowseco01
17,IF,Joey Ortiz (40-man),24,15,34,33,4,7,1,0,0,4,0,0,0,9,0.212,0.206,0.242,0.448,26,8,2,0,0,1,0,ortizjo06
18,OF,Kyle Stowers* (40-man),25,14,33,30,1,2,0,0,0,0,0,0,3,12,0.067,0.152,0.067,0.218,-35,2,1,0,0,0,0,stoweky01
19,CI,Josh Lester* (DFA),28,11,23,22,0,4,0,0,0,4,0,0,1,7,0.182,0.217,0.182,0.399,14,4,1,0,0,0,0,lestejo02
20,C,Anthony Bemboom*,33,6,13,11,0,2,0,0,0,0,0,0,2,2,0.182,0.308,0.182,0.49,43,2,0,0,0,0,0,bemboan01
21,C,Mark Kolozsvary,27,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,kolozma01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
