Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Yan Gomes,35,62,220,200,29,54,4,2,8,33,1,0,11,42,0.27,0.314,0.43,0.744,99,86,2,4,0,5,1,gomesya01
2,1B,Trey Mancini,31,74,251,224,31,53,11,0,4,26,0,0,20,75,0.237,0.301,0.339,0.64,74,76,5,2,0,3,1,mancitr01
3,2B,Nico Hoerner,26,88,406,374,51,101,15,4,6,54,21,3,24,53,0.27,0.323,0.38,0.702,90,142,6,6,0,2,0,hoernni01
4,SS,Dansby Swanson (10-day IL),29,83,367,325,41,84,15,2,10,36,4,1,40,84,0.258,0.343,0.409,0.753,103,133,5,2,0,0,0,swansda01
5,3B,Patrick Wisdom,31,66,237,207,34,41,7,1,17,35,3,1,26,88,0.198,0.292,0.488,0.78,107,101,3,2,1,1,0,wisdopa01
6,LF,Ian Happ#,28,94,406,334,38,81,19,2,8,42,8,2,66,100,0.243,0.369,0.383,0.753,105,128,7,3,0,3,2,happia01
7,CF,Cody Bellinger*,27,65,274,245,51,76,14,1,12,35,12,3,22,47,0.31,0.365,0.522,0.887,137,128,3,2,0,5,2,bellico01
8,RF,Seiya Suzuki,28,78,331,290,34,76,14,2,8,31,2,5,35,83,0.262,0.341,0.407,0.748,102,118,6,2,0,4,1,suzukse01
9,DH,Christopher Morel,24,55,223,201,38,54,8,1,15,42,2,1,18,68,0.269,0.329,0.542,0.871,131,109,5,1,1,2,0,morelch01
10,CF,Mike Tauchman*,32,48,185,154,30,40,8,0,4,29,3,1,26,40,0.26,0.37,0.39,0.759,107,60,0,2,1,2,0,tauchmi01
11,3B,Nick Madrigal (10-day IL),26,53,167,151,23,42,8,1,1,17,7,2,7,16,0.278,0.335,0.364,0.7,90,55,3,6,3,0,0,madrini01
12,C,Tucker Barnhart*,32,40,114,100,5,20,3,0,1,8,1,0,12,37,0.2,0.289,0.26,0.549,51,26,3,1,0,1,0,barnhtu01
13,DH,Eric Hosmer*,33,31,100,94,7,22,3,0,2,14,0,0,6,25,0.234,0.28,0.33,0.61,65,31,5,0,0,0,0,hosmeer01
14,1B,Matt Mervis* (40-man),25,27,99,90,8,15,2,0,3,11,0,0,8,32,0.167,0.242,0.289,0.531,44,26,1,1,0,0,0,mervima01
15,UT,Miles Mastrobuoni*,27,36,93,80,11,16,3,0,0,2,8,0,11,24,0.2,0.297,0.238,0.534,48,19,1,0,2,0,0,mastrmi01
16,C,Miguel Amaya,24,26,86,70,10,19,4,0,2,13,0,0,6,24,0.271,0.388,0.414,0.803,118,29,1,8,1,1,0,amayami01
17,1B,Jared Young*,27,13,39,35,7,6,0,2,1,5,2,0,3,11,0.171,0.256,0.371,0.628,68,13,1,1,0,0,0,youngja02
18,DH,Edwin Rios* (40-man),29,18,34,28,3,2,1,0,1,2,0,0,5,16,0.071,0.235,0.214,0.45,24,6,0,1,0,0,0,riosed01
19,OF,Nelson Velázquez (40-man),24,13,32,29,8,7,2,0,3,6,0,0,3,8,0.241,0.313,0.621,0.933,145,18,1,0,0,0,0,velazne01
20,DH,Luis Torrens,27,13,22,20,1,5,1,0,0,3,0,0,1,8,0.25,0.318,0.3,0.618,69,6,0,1,0,0,0,torrelu01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
