Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Jose Trevino,30,55,168,157,15,33,4,0,4,15,0,0,8,22,0.21,0.257,0.312,0.57,58,49,6,2,1,0,0,trevijo01
2,1B,Anthony Rizzo*,33,89,378,332,41,82,13,0,11,39,0,3,34,85,0.247,0.336,0.386,0.722,101,128,8,11,0,1,1,rizzoan01
3,2B,Gleyber Torres,26,96,404,361,55,95,13,2,14,39,8,5,38,57,0.263,0.332,0.427,0.758,110,154,8,1,0,4,0,torregl01
4,SS,Anthony Volpe,22,97,364,329,41,68,10,3,13,34,16,2,32,107,0.207,0.278,0.374,0.652,80,123,9,1,1,1,0,volpean01
5,3B,DJ LeMahieu,34,82,328,299,30,69,15,2,7,27,0,2,25,74,0.231,0.293,0.365,0.657,82,109,7,2,0,2,2,lemahdj01
6,LF,Oswaldo Cabrera#,24,78,212,192,26,40,8,0,4,22,6,0,15,45,0.208,0.27,0.313,0.583,62,60,6,2,1,2,1,cabreos01
7,CF,Harrison Bader,29,49,185,173,23,42,6,2,7,31,8,2,6,30,0.243,0.276,0.422,0.698,91,73,2,3,0,3,0,baderha01
8,RF,Aaron Judge (10-day IL),31,49,213,175,42,51,10,0,19,40,3,1,35,63,0.291,0.404,0.674,1.078,193,118,3,0,0,3,4,judgeaa01
9,DH,Giancarlo Stanton,33,47,191,172,21,34,7,0,12,30,0,0,17,46,0.198,0.277,0.448,0.725,98,77,4,2,0,0,3,stantmi03
10,OF,Isiah Kiner-Falefa,28,75,225,204,29,51,7,1,5,24,9,4,17,37,0.25,0.308,0.368,0.676,88,75,8,1,1,2,0,kineris01
11,C,Kyle Higashioka,33,60,162,151,14,35,8,0,5,24,0,0,8,45,0.232,0.267,0.384,0.651,79,58,1,0,1,2,0,higasky01
12,OF,Jake Bauers* (10-day IL),27,49,154,134,18,30,12,0,7,19,2,0,18,46,0.224,0.312,0.47,0.782,114,63,3,0,0,2,0,bauerja01
13,DH,Willie Calhoun* (10-day IL),28,44,149,134,16,32,7,0,5,16,0,0,14,20,0.239,0.309,0.403,0.712,97,54,2,0,0,1,1,calhowi01
14,3B,Josh Donaldson (60-day IL),37,33,120,106,13,15,1,0,10,15,0,0,12,32,0.142,0.225,0.434,0.659,78,46,2,0,0,2,0,donaljo02
15,LF,Billy McKinney*,28,29,84,79,9,19,3,1,4,8,0,0,4,20,0.241,0.286,0.456,0.741,102,36,1,1,0,0,0,mckinbi01
16,LF,Aaron Hicks#,33,28,76,69,9,13,2,0,1,5,0,0,7,20,0.188,0.263,0.261,0.524,47,18,0,0,0,0,0,hicksaa01
17,RF,Franchy Cordero*,28,22,64,62,8,12,2,0,5,12,0,0,2,23,0.194,0.219,0.468,0.686,84,29,0,0,0,0,0,cordefr02
18,IF,Oswald Peraza,23,16,53,42,5,8,1,0,0,4,4,1,8,13,0.19,0.358,0.214,0.573,66,9,1,3,0,0,0,perazos02
19,OF,Greg Allen# (10-day IL),30,10,17,14,5,3,0,1,1,1,1,0,1,7,0.214,0.313,0.571,0.884,139,8,0,1,1,0,0,allengr01
20,C,Ben Rortvedt* (40-man),25,5,9,7,2,2,1,0,0,0,0,0,2,2,0.286,0.444,0.429,0.873,146,3,0,0,0,0,0,rortvbe01
21,CF,Estevan Florial*,25,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,flories01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
