Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Shea Langeliers,25,84,311,285,33,58,13,2,10,33,1,2,20,93,0.204,0.265,0.368,0.633,80,105,8,4,1,1,2,langesh01
2,1B,Ryan Noda* (10-day IL),27,90,341,275,43,63,17,1,11,38,2,1,60,116,0.229,0.375,0.418,0.794,129,115,1,5,0,1,1,nodary01
3,2B,Tony Kemp*,31,78,277,240,29,50,7,3,3,19,10,1,28,28,0.208,0.3,0.3,0.6,74,72,7,4,4,1,0,kempto01
4,SS,Nick Allen,24,50,143,131,12,25,1,0,1,6,1,1,8,28,0.191,0.236,0.221,0.457,33,29,2,0,3,1,0,allenni02
5,3B,Jace Peterson*,33,85,302,262,28,56,7,2,6,25,10,1,33,72,0.214,0.306,0.324,0.63,82,85,6,3,1,3,1,peterja01
6,LF,JJ Bleday*,25,58,211,178,23,38,10,0,7,22,4,1,29,48,0.213,0.322,0.388,0.71,103,69,2,1,0,3,0,bledajj01
7,CF,Esteury Ruiz (10-day IL),24,85,369,334,33,86,19,1,1,35,43,8,14,68,0.257,0.31,0.329,0.64,85,110,4,12,3,1,1,ruizes01
8,RF,Ramón Laureano (10-day IL),28,56,219,202,21,43,9,3,5,17,8,0,13,68,0.213,0.274,0.361,0.635,81,73,3,4,0,0,0,laurera01
9,DH,Brent Rooker,28,83,319,276,33,66,13,1,16,44,2,0,33,101,0.239,0.332,0.467,0.8,127,129,10,7,0,3,1,rookebr01
10,IF,Aledmys Díaz,32,71,236,217,16,46,11,0,2,15,1,0,11,45,0.212,0.264,0.29,0.554,60,63,10,5,1,2,1,diazal02
11,OF,Seth Brown*,30,54,194,175,18,35,6,0,9,27,2,1,18,57,0.2,0.278,0.389,0.667,89,68,3,1,0,0,0,brownse01
12,C,Carlos Pérez (10-day IL),32,47,140,125,12,29,4,0,5,17,0,0,11,27,0.232,0.293,0.384,0.677,93,48,1,1,0,3,0,perezca02
13,2B,Jordan Diaz,22,38,119,112,10,27,2,0,6,12,0,1,4,28,0.241,0.277,0.42,0.697,97,47,3,2,0,1,0,diazjo03
14,1B,Jesús Aguilar,33,36,115,104,8,23,2,0,5,9,0,0,8,31,0.221,0.281,0.385,0.665,89,40,3,1,0,1,2,aguilje01
15,SS,Kevin Smith (10-day IL),26,34,102,94,11,18,1,0,4,8,1,0,3,34,0.191,0.216,0.33,0.546,54,31,2,0,5,0,0,smithke05
16,OF,Conner Capel* (40-man),26,32,86,73,6,19,5,0,0,3,5,3,12,25,0.26,0.372,0.329,0.701,105,24,1,1,0,0,0,capelco01
17,3B,Jonah Bride,27,21,63,51,5,10,1,0,0,4,0,0,7,13,0.196,0.323,0.216,0.538,60,11,1,3,1,1,0,bridejo01
18,UT,Tyler Wade*,28,26,55,51,8,13,1,1,0,2,4,0,4,13,0.255,0.309,0.314,0.623,80,16,0,0,0,0,0,wadety01
19,2B,Zack Gelof,23,6,24,23,3,5,3,1,0,2,2,0,1,8,0.217,0.25,0.435,0.685,92,10,0,0,0,0,0,gelofza01
20,UT,Tyler Soderstrom*,21,6,23,21,0,3,0,0,0,0,0,0,2,7,0.143,0.217,0.143,0.36,7,3,4,0,0,0,0,soderty01
21,RF,Cody Thomas*,28,8,19,17,1,5,1,0,1,2,0,0,2,7,0.294,0.368,0.529,0.898,154,9,0,0,0,0,0,thomaco01
22,DH,Manny Piña (10-day IL),36,4,12,12,1,3,0,0,1,1,0,0,0,3,0.25,0.25,0.5,0.75,108,6,1,0,0,0,0,pinama01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
