Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Austin Hedges,30,62,180,156,12,27,5,0,1,14,1,0,10,38,0.173,0.224,0.224,0.448,23,35,6,1,9,3,0,hedgeau01
2,1B,Carlos Santana#,37,88,367,322,41,74,22,0,9,45,6,0,42,64,0.23,0.316,0.382,0.698,90,123,3,0,0,3,0,santaca01
3,2B,Ji Hwan Bae* (10-day IL),23,76,239,214,37,51,9,0,2,19,20,6,18,58,0.238,0.301,0.308,0.609,68,66,2,2,3,2,0,baeji01
4,SS,Tucupita Marcano*,23,73,214,196,16,46,12,2,3,18,5,2,10,33,0.235,0.28,0.362,0.642,74,71,2,3,3,2,0,marcatu01
5,3B,Ke'Bryan Hayes (10-day IL),26,75,307,290,34,73,16,5,5,32,9,5,16,62,0.252,0.29,0.393,0.683,85,114,9,0,0,1,0,hayeske01
6,LF,Bryan Reynolds#,28,82,353,314,42,80,21,3,9,44,8,0,31,68,0.255,0.323,0.427,0.75,103,134,8,3,0,5,0,reynobr01
7,CF,Jack Suwinski*,24,84,313,258,40,58,12,0,19,49,7,1,47,102,0.225,0.348,0.492,0.84,127,127,1,4,0,4,0,suwinja01
8,RF,Connor Joe,30,84,279,246,37,60,18,3,7,25,3,5,28,78,0.244,0.333,0.427,0.76,106,105,3,5,0,0,0,joeco01
9,DH,Andrew McCutchen,36,77,329,274,40,73,12,0,10,28,9,3,49,66,0.266,0.377,0.42,0.797,118,115,5,2,0,4,1,mccutan01
10,MI,Rodolfo Castro# (40-man),24,78,224,197,19,45,7,0,6,22,1,4,21,62,0.228,0.317,0.355,0.672,84,70,4,5,0,1,1,castrro01
11,C,Jason Delay (40-man),28,50,118,104,11,27,7,1,1,10,0,0,9,30,0.26,0.328,0.375,0.703,92,39,3,2,2,1,0,delayja01
12,OF,Josh Palacios* (40-man),27,42,111,105,9,24,7,1,1,13,2,0,4,16,0.229,0.264,0.343,0.606,64,36,5,1,1,0,0,palacjo01
13,RF,Henry Davis,23,26,106,91,14,25,4,0,2,9,3,2,12,20,0.275,0.377,0.385,0.762,110,35,2,3,0,0,0,davishe01
14,MI,Nick Gonzales,24,22,81,75,9,19,5,1,2,12,0,1,3,23,0.253,0.296,0.427,0.723,95,32,0,2,0,1,0,gonzani01
15,3B,Jared Triolo,25,17,68,61,9,19,2,0,0,9,0,1,5,19,0.311,0.368,0.344,0.712,97,21,0,1,0,1,0,triolja01
16,2B,Mark Mathias,28,22,62,52,5,12,2,0,0,4,3,0,10,11,0.231,0.355,0.269,0.624,75,14,3,0,0,0,0,mathima01
17,DH,Ji Man Choi*,32,17,58,55,6,10,2,0,4,8,0,0,2,21,0.182,0.207,0.436,0.643,69,24,1,0,0,1,0,choiji01
18,SS,Oneil Cruz* (60-day IL),24,9,40,32,7,8,1,0,1,4,3,0,7,8,0.25,0.375,0.375,0.75,107,12,0,0,0,1,0,cruzon01
19,OF,Canaan Smith-Njigba* (40-man),24,15,37,32,3,4,1,1,0,5,1,0,4,16,0.125,0.216,0.219,0.435,20,7,1,0,0,1,0,smithca05
20,RF,Miguel Andujar,28,13,33,31,2,5,1,0,2,6,0,0,2,5,0.161,0.212,0.387,0.599,59,12,0,0,0,0,0,andujmi01
21,SS,Chris Owings,31,10,25,25,0,4,0,0,0,0,0,0,0,12,0.16,0.16,0.16,0.32,-12,4,1,0,0,0,0,owingch01
22,C,Tyler Heineman#,32,3,10,9,1,1,0,0,0,0,1,0,1,1,0.111,0.2,0.111,0.311,-11,1,0,0,0,0,0,heinety01
23,C,Endy Rodríguez#,23,3,9,9,1,1,0,0,0,0,0,0,0,7,0.111,0.111,0.111,0.222,-39,1,0,0,0,0,0,rodrien01
24,3B,Drew Maggi (EV-day IL),34,3,6,6,1,2,1,0,0,1,0,0,0,1,0.333,0.333,0.5,0.833,124,3,0,0,0,0,0,maggidr01
25,SS,Liover Peguero,22,2,6,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,-100,0,0,0,0,0,0,pegueli01
26,RF,Calvin Mitchell* (7-day IL),24,2,5,4,0,0,0,0,0,0,0,0,1,1,0,0.2,0,0.2,-38,0,0,0,0,0,0,mitchca01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
