Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Patrick Bailey#,24,46,170,159,15,43,12,1,5,29,1,0,5,48,0.27,0.304,0.453,0.756,105,72,3,3,2,1,0,bailepa01
2,1B,LaMonte Wade Jr.*,29,84,331,266,41,73,13,1,9,28,2,0,56,61,0.274,0.405,0.432,0.838,132,115,2,4,3,2,1,wadela01
3,2B,Thairo Estrada (10-day IL),27,70,315,290,46,79,18,1,9,31,18,4,15,77,0.272,0.327,0.434,0.761,108,126,6,9,0,1,1,estrath01
4,SS,Brandon Crawford* (10-day IL),36,64,222,198,22,41,10,0,5,26,3,0,20,57,0.207,0.285,0.333,0.618,70,66,5,2,1,1,1,crawfbr01
5,3B,J.D. Davis,30,89,343,299,39,80,14,1,11,47,1,0,35,94,0.268,0.348,0.431,0.779,114,129,11,4,0,4,0,davisjd01
6,LF,Mitch Haniger (60-day IL),32,40,160,148,20,34,9,0,4,22,1,0,9,42,0.23,0.281,0.372,0.653,78,55,2,2,0,1,0,hanigmi01
7,CF,Mike Yastrzemski*,32,68,260,232,41,55,14,1,11,30,0,2,26,67,0.237,0.317,0.448,0.765,108,104,2,1,1,0,2,yastrmi01
8,RF,Michael Conforto*,30,83,327,283,43,69,9,0,13,51,4,0,36,78,0.244,0.336,0.413,0.75,106,117,7,5,0,3,1,confomi01
9,DH,Joc Pederson*,31,62,230,190,36,44,6,2,8,32,0,0,33,51,0.232,0.357,0.411,0.767,111,78,7,5,0,2,2,pederjo01
10,UT,Blake Sabol*,25,72,241,219,29,56,8,0,11,35,2,2,16,81,0.256,0.313,0.443,0.755,105,97,3,3,1,2,0,sabolbl01
11,1B,Wilmer Flores,31,69,232,209,29,61,13,0,12,31,0,0,19,35,0.292,0.349,0.526,0.875,137,110,4,1,0,3,0,florewi01
12,SS,Casey Schmitt,24,57,188,175,20,38,10,0,2,22,2,1,9,44,0.217,0.266,0.309,0.575,58,54,5,3,0,1,0,schmica01
13,IF,David Villar,26,42,134,119,15,18,6,0,5,12,1,1,10,41,0.151,0.239,0.328,0.567,54,39,1,4,0,1,0,villada01
14,2B,Brett Wisely*,24,45,116,106,10,20,5,0,2,7,2,1,8,36,0.189,0.243,0.292,0.536,47,31,1,0,1,1,0,wiselbr01
15,CF,Luis Matos,21,29,106,96,13,25,3,1,1,8,3,0,8,11,0.26,0.324,0.344,0.668,85,33,1,1,1,0,0,matoslu02
16,OF,Austin Slater,30,39,102,91,13,29,3,0,4,14,2,2,10,23,0.319,0.392,0.484,0.876,140,44,0,1,0,0,0,slateau01
17,C,Joey Bart (40-man),26,26,84,78,8,18,5,0,0,4,0,0,2,21,0.231,0.286,0.295,0.581,61,23,0,4,0,0,0,bartjo01
18,CF,Bryce Johnson# (40-man),27,30,48,43,7,7,1,0,1,3,3,0,4,15,0.163,0.229,0.256,0.485,34,11,0,0,0,1,0,johnsbr03
19,DH,Darin Ruf,36,9,27,23,1,6,2,0,0,3,0,0,4,9,0.261,0.37,0.348,0.718,100,8,0,0,0,0,0,rufda01
20,OF,Heliot Ramos (40-man),23,9,27,26,1,5,2,0,0,1,0,0,1,8,0.192,0.222,0.269,0.491,35,7,1,0,0,0,0,ramoshe02
21,C,Roberto Pérez (60-day IL),34,5,17,15,0,2,0,0,0,1,0,0,2,6,0.133,0.235,0.133,0.369,6,2,0,0,0,0,0,perezro02
22,CF,Cal Stevenson*,26,6,12,9,1,0,0,0,0,0,0,0,3,2,0,0.25,0,0.25,-22,0,0,0,0,0,0,steveca01
23,IF,Isan Díaz* (40-man),27,2,8,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,-100,0,0,0,0,0,0,diazis01
24,DH,Matt Beaty*,30,4,5,5,1,1,0,0,0,1,0,0,0,2,0.2,0.2,0.2,0.4,11,1,0,0,0,0,0,beatyma01
25,C,Austin Wynns,32,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0,wynnsau01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
