Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Jonah Heim#,28,84,337,310,47,89,22,0,14,66,2,0,25,58,0.287,0.341,0.494,0.835,126,153,6,1,0,1,2,heimjo01
2,1B,Nathaniel Lowe*,27,96,436,379,62,106,27,1,10,48,0,0,51,91,0.28,0.367,0.435,0.802,120,165,11,3,0,3,2,lowena01
3,2B,Marcus Semien,32,97,455,404,77,111,27,2,13,59,9,1,44,62,0.275,0.344,0.448,0.792,116,181,2,1,0,5,1,semiema01
4,SS,Corey Seager*,29,65,294,260,45,90,28,0,14,57,1,1,29,51,0.346,0.408,0.615,1.024,177,160,4,1,0,4,2,seageco01
5,3B,Josh Jung,25,94,400,371,62,101,20,1,19,58,1,2,25,116,0.272,0.323,0.485,0.808,118,180,5,3,0,1,0,jungjo01
6,LF,Travis Jankowski*,32,59,173,148,25,49,9,1,1,20,14,1,22,23,0.331,0.424,0.426,0.85,136,63,2,2,1,0,0,jankotr01
7,CF,Leody Taveras#,24,82,318,295,45,85,16,2,11,43,10,3,20,63,0.288,0.334,0.468,0.802,118,138,2,1,1,1,0,taverle01
8,RF,Adolis García,30,96,418,370,73,96,21,0,24,80,6,0,38,105,0.259,0.33,0.511,0.841,127,189,7,4,0,6,0,garciad02
9,DH,Robbie Grossman#,33,71,270,236,37,53,12,0,7,35,0,0,26,66,0.225,0.3,0.364,0.664,82,86,4,2,0,6,0,grossro01
10,UT,Ezequiel Duran,24,74,275,259,38,77,16,1,13,37,4,3,11,75,0.297,0.335,0.517,0.852,130,134,3,4,0,1,1,duranez01
11,UT,Josh H. Smith*,25,52,133,109,21,23,4,0,3,6,1,0,14,37,0.211,0.344,0.33,0.674,88,36,2,8,2,0,0,smithjo11
12,DH,Mitch Garver,32,28,107,96,13,23,5,0,4,17,0,0,11,31,0.24,0.318,0.417,0.734,100,40,1,0,0,0,0,garvemi01
13,LF,Bubba Thompson (40-man),25,36,60,53,10,9,4,1,0,4,4,2,4,16,0.17,0.237,0.283,0.52,43,15,0,1,1,1,0,thompbu01
14,DH,Brad Miller*,33,23,57,48,5,10,3,0,1,6,0,0,8,9,0.208,0.316,0.333,0.649,80,16,1,0,0,1,0,millebr02
15,C,Sandy León#,34,21,44,41,4,6,2,0,0,4,0,0,1,20,0.146,0.186,0.195,0.381,6,8,2,1,1,0,0,leonsa01
16,DH,Sam Huff (40-man),25,7,14,12,0,2,0,0,0,1,0,0,2,5,0.167,0.286,0.167,0.452,30,2,1,0,0,0,0,huffsa01
17,P,Josh Sborz (15-day IL),29,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,sborzjo01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
