Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Alejandro Kirk,24,73,245,218,16,55,5,0,4,24,0,0,21,28,0.252,0.331,0.33,0.661,87,72,11,5,0,1,1,kirkal01
2,1B,Vladimir Guerrero Jr.,24,96,418,372,48,101,21,0,16,62,4,2,35,66,0.272,0.342,0.457,0.799,122,170,14,7,0,4,1,guerrvl02
3,2B,Whit Merrifield,34,90,358,327,41,95,17,0,6,42,20,8,25,63,0.291,0.344,0.398,0.741,108,130,10,3,0,3,0,merriwh01
4,SS,Bo Bichette,25,98,438,418,47,130,22,1,16,53,3,3,18,82,0.311,0.342,0.483,0.826,129,202,11,2,0,0,0,bichebo01
5,3B,Matt Chapman,30,96,402,351,52,92,30,1,12,42,3,2,45,109,0.262,0.351,0.456,0.807,125,160,3,4,0,2,1,chapmma01
6,LF,Daulton Varsho*,26,97,374,341,40,73,13,0,12,32,12,3,27,88,0.214,0.275,0.358,0.633,77,122,3,3,0,3,0,varshda01
7,CF,Kevin Kiermaier*,33,82,263,237,37,64,12,5,5,22,11,0,20,54,0.27,0.332,0.426,0.758,112,101,7,3,1,2,0,kiermke01
8,RF,George Springer,33,95,418,379,54,101,14,1,13,41,13,4,34,71,0.266,0.333,0.412,0.744,108,156,13,4,0,1,0,springe01
9,DH,Brandon Belt*,35,67,258,215,29,54,17,0,7,23,0,0,41,95,0.251,0.372,0.428,0.8,125,92,3,1,0,1,1,beltbr01
10,C,Danny Jansen,28,61,215,198,26,45,11,0,12,41,0,0,15,46,0.227,0.288,0.465,0.753,107,92,3,2,0,0,1,janseda01
11,2B,Cavan Biggio*,28,63,166,149,23,32,5,0,7,19,3,2,14,48,0.215,0.295,0.389,0.684,91,58,0,3,0,0,0,biggica01
12,2B,Santiago Espinal,28,51,146,130,21,29,7,0,1,12,2,1,13,18,0.223,0.303,0.3,0.603,71,39,4,2,1,0,0,espinsa01
13,OF,Nathan Lukes* (40-man),28,25,25,21,4,4,1,1,0,2,0,0,3,8,0.19,0.28,0.333,0.613,72,7,0,0,0,1,0,lukesna01
14,C,Tyler Heineman# (40-man),32,9,20,16,1,5,1,0,0,0,0,0,4,5,0.313,0.45,0.375,0.825,137,6,0,0,0,0,0,heinety01
15,DH,Jordan Luplow,29,5,11,9,1,2,0,0,0,1,0,0,2,5,0.222,0.364,0.222,0.586,71,2,0,0,0,0,0,luplojo01
16,DH,Spencer Horwitz* (40-man),25,3,10,8,1,2,0,0,0,1,0,0,2,3,0.25,0.4,0.25,0.65,90,2,0,0,0,0,0,horwisp01
17,MI,Ernie Clement (40-man),27,11,9,7,3,3,0,0,0,2,1,0,1,1,0.429,0.444,0.429,0.873,148,3,0,0,0,1,0,clemeer01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
