Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Keibert Ruiz#,24,78,325,300,28,72,13,0,11,35,1,1,19,31,0.24,0.295,0.393,0.689,92,118,11,5,0,1,0,ruizke01
2,1B,Dominic Smith*,28,92,373,337,36,90,12,1,5,23,0,0,29,57,0.267,0.335,0.353,0.688,95,119,10,6,0,1,0,smithdo02
3,2B,Luis García*,23,87,363,335,41,89,12,4,5,41,6,4,20,43,0.266,0.301,0.37,0.671,88,124,8,0,1,7,0,garcilu04
4,SS,CJ Abrams*,22,87,331,307,43,78,17,4,8,36,18,2,13,71,0.254,0.302,0.414,0.716,99,127,5,8,3,0,0,abramcj01
5,3B,Jeimer Candelario#,29,89,377,336,49,87,27,2,15,46,5,1,30,78,0.259,0.334,0.485,0.819,128,163,9,9,0,2,1,candeje01
6,LF,Stone Garrett,27,63,185,166,25,44,10,0,6,24,3,1,14,59,0.265,0.326,0.434,0.76,112,72,4,2,0,2,0,garrest01
7,CF,Alex Call,28,75,294,257,31,55,10,0,6,27,9,4,29,53,0.214,0.306,0.323,0.629,78,83,0,6,0,2,0,callal02
8,RF,Lane Thomas,27,94,412,380,63,110,24,2,15,51,8,2,24,106,0.289,0.337,0.482,0.819,128,183,3,5,0,3,0,thomala02
9,DH,Joey Meneses,31,89,384,359,35,100,21,1,6,49,0,0,23,80,0.279,0.32,0.393,0.713,100,141,9,0,0,2,0,menesjo01
10,LF,Corey Dickerson*,34,41,128,121,7,29,6,0,2,16,0,1,6,23,0.24,0.273,0.339,0.612,72,41,3,0,0,1,0,dickeco01
11,CF,Victor Robles (10-day IL),26,36,126,107,15,32,5,1,0,8,8,1,11,18,0.299,0.385,0.364,0.75,114,39,3,4,4,0,0,roblevi01
12,UT,Ildemaro Vargas#,31,35,106,100,15,27,6,1,2,13,0,0,5,5,0.27,0.305,0.41,0.715,99,41,6,0,1,0,0,vargail01
13,C,Riley Adams,27,23,87,79,4,22,5,2,3,10,0,0,6,26,0.278,0.337,0.506,0.844,134,40,4,1,1,0,0,adamsri03
14,IF,Michael Chavis,27,26,54,51,8,13,1,0,1,3,0,0,3,18,0.255,0.296,0.333,0.63,78,17,1,0,0,0,0,chavimi01
15,CF,Derek Hill,27,13,50,47,3,8,1,0,0,1,1,0,3,11,0.17,0.22,0.191,0.411,18,9,0,0,0,0,0,hillde01
16,LF,Jake Alu* (40-man),26,5,15,14,0,3,0,0,0,0,1,0,1,4,0.214,0.267,0.214,0.481,38,3,0,0,0,0,0,aluja01
17,SS,Jeter Downs (40-man),24,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0.5,0,0.5,59,0,0,0,0,0,0,downsje01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
