Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Graham Ashcraft,25,5,7,0.417,5.77,18,18,0,0,0,0,93.2,105,61,60,14,39,0,66,7,1,3,419,82,5.29,1.537,10.1,1.3,3.7,6.3,1.69,ashcrgr01
2,SP,Luke Weaver,29,2,2,0.5,7.22,16,16,0,0,0,0,76,100,61,61,19,24,0,64,2,0,2,348,66,5.88,1.632,11.8,2.3,2.8,7.6,2.67,weavelu01
3,SP,Hunter Greene (15-day IL),23,2,4,0.333,3.93,14,14,0,0,0,0,73.1,68,34,32,9,31,0,100,4,0,3,318,121,3.59,1.35,8.3,1.1,3.8,12.3,3.23,greenhu01
4,SP,Ben Lively,31,4,5,0.444,3.72,11,9,0,0,0,0,55.2,52,23,23,11,15,0,53,2,0,0,233,128,4.87,1.204,8.4,1.8,2.4,8.6,3.53,livelbe01
5,SP,Andrew Abbott*,24,5,2,0.714,2.1,9,9,0,0,0,0,55.2,33,13,13,8,18,0,57,0,0,0,213,226,4.08,0.916,5.3,1.3,2.9,9.2,3.17,abbotan01
6,SP,Brandon Williamson*,25,1,2,0.333,4.96,11,11,0,0,0,0,52.2,48,32,29,10,22,0,41,1,0,0,224,96,5.51,1.329,8.2,1.7,3.8,7,1.86,willibr02
7,CL,Alexis Díaz,26,3,1,0.75,1.9,44,0,33,0,0,27,42.2,23,10,9,1,19,0,65,5,0,3,172,250,2.23,0.984,4.9,0.2,4,13.7,3.42,diazal03
8,RP,Ian Gibaut,29,8,2,0.8,3.21,45,0,10,0,0,1,47.2,40,20,17,6,19,3,41,4,0,0,198,148,4.65,1.238,7.6,1.1,3.6,7.7,2.16,gibauia01
9,RP,Buck Farmer,32,2,4,0.333,3.99,45,0,7,0,0,2,47.1,37,22,21,8,16,0,41,2,0,0,193,119,4.89,1.12,7,1.5,3,7.8,2.56,farmebu01
10,RP,Lucas Sims,29,3,2,0.6,3.29,40,0,2,0,0,1,38.1,20,14,14,4,21,1,48,7,0,2,159,145,4.33,1.07,4.7,0.9,4.9,11.3,2.29,simslu01
11,RP,Alex Young*,29,3,0,1,2.37,43,0,1,0,0,1,38,36,12,10,5,14,0,38,1,0,0,163,201,4.18,1.316,8.5,1.2,3.3,9,2.71,youngal01
12,,Fernando Cruz,33,1,1,0.5,4.3,31,0,11,0,0,0,37.2,29,20,18,2,19,0,51,1,0,2,161,111,2.86,1.274,6.9,0.5,4.5,12.2,2.68,cruzfe01
13,,Nick Lodolo* (60-day IL),25,2,1,0.667,6.29,7,7,0,0,0,0,34.1,50,24,24,10,10,1,47,7,0,2,166,76,5.82,1.748,13.1,2.6,2.6,12.3,4.7,lodolni01
14,,Derek Law,32,3,4,0.429,3.86,28,2,4,0,0,1,28,30,14,12,4,15,0,25,0,0,1,125,124,4.96,1.607,9.6,1.3,4.8,8,1.67,lawde01
15,,Luis Cessa,31,1,4,0.2,9,7,6,0,0,0,0,26,46,26,26,3,12,0,11,1,0,2,132,53,5.44,2.231,15.9,1,4.2,3.8,0.92,cessalu01
16,,Kevin Herget,32,1,2,0.333,5.73,13,0,6,0,0,1,22,24,14,14,4,6,1,11,2,1,1,96,84,5.74,1.364,9.8,1.6,2.5,4.5,1.83,hergeke01
17,,Reiver Sanmartin* (60-day IL),27,1,0,1,7.07,14,0,3,0,0,0,14,17,13,11,2,10,0,13,0,0,2,70,68,5.43,1.929,10.9,1.3,6.4,8.4,1.3,sanmare01
18,,Daniel Duarte (40-man),26,1,0,1,2.77,14,0,3,0,0,0,13,10,5,4,2,9,0,10,0,0,1,57,175,5.82,1.462,6.9,1.4,6.2,6.9,1.11,duartda01
19,,Eduardo Salazar (40-man),25,1,0,1,8.03,8,0,3,0,0,0,12.1,16,11,11,0,5,0,5,4,0,1,61,60,4.66,1.703,11.7,0,3.6,3.6,1,salazed01
20,,Casey Legumina (15-day IL),26,1,0,1,6.17,10,0,2,0,0,0,11.2,15,11,8,3,8,0,11,0,0,1,56,79,6.8,1.971,11.6,2.3,6.2,8.5,1.38,legumca01
21,,Connor Overton (60-day IL),29,0,1,0,11.45,3,3,0,0,0,0,11,19,14,14,3,7,0,9,0,0,0,55,42,7.1,2.364,15.5,2.5,5.7,7.4,1.29,overtco01
22,,Levi Stoudt,25,0,1,0,9.9,3,2,0,0,0,0,10,15,11,11,1,7,0,8,0,1,0,52,49,5.09,2.2,13.5,0.9,6.3,7.2,1.14,stoudle01
23,,Silvino Bracho,30,0,0,,3.68,5,0,2,0,0,0,7.1,5,3,3,0,6,0,6,0,0,0,31,134,4.1,1.5,6.1,0,7.4,7.4,1,brachsi01
24,,Brett Kennedy (40-man),28,1,0,1,7.2,1,1,0,0,0,0,5,5,4,4,0,2,0,3,0,0,0,22,70,3.29,1.4,9,0,3.6,5.4,1.5,kennebr02
25,,Alan Busenitz (40-man),32,0,0,,4.5,4,0,3,0,0,0,4,7,2,2,0,1,1,3,0,0,0,20,113,2.54,2,15.8,0,2.3,6.8,3,busenal01
26,,Tony Santillan (40-man),26,1,0,1,2.7,3,0,1,0,0,0,3.1,4,1,1,0,5,1,1,0,0,0,18,192,7.19,2.7,10.8,0,13.5,2.7,0.2,santito01
27,,Joel Kuhnel,28,0,0,,8.1,2,0,1,0,0,0,3.1,6,3,3,0,2,0,0,0,0,0,17,64,5.09,2.4,16.2,0,5.4,0,0,kuhnejo01
28,,Jake Wong,26,0,0,,9,1,0,1,0,0,0,3,6,3,3,0,3,0,0,0,0,0,15,58,6.29,3,18,0,9,0,0,wongja01
29,,Randy Wynne,30,0,1,0,3.86,1,0,0,0,0,0,2.1,3,1,1,0,1,0,0,0,0,1,11,139,4.57,1.714,11.6,0,3.9,0,0,wynnera01
30,,Luke Maile,32,0,0,,4.5,2,0,2,0,0,0,2,4,1,1,0,0,0,0,0,0,0,10,122,3.29,2,18,0,0,0,,mailelu01
31,,Jason Vosler,29,0,0,,4.5,2,0,2,0,0,0,2,5,1,1,0,0,0,0,0,0,0,11,122,3.29,2.5,22.5,0,0,0,,vosleja01
