Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Kodai Senga,30,7,5,0.583,3.2,17,17,0,0,0,0,95.2,72,38,34,11,49,0,122,3,1,8,407,129,3.86,1.265,6.8,1,4.6,11.5,2.49,sengako01
2,SP,Max Scherzer,38,8,3,0.727,3.99,17,17,0,0,0,0,94.2,86,43,42,18,26,0,107,3,0,1,390,103,4.42,1.183,8.2,1.7,2.5,10.2,4.12,scherma01
3,SP,Justin Verlander,40,4,5,0.444,3.47,14,14,0,0,0,0,83,70,35,32,9,26,0,70,1,0,3,340,119,3.98,1.157,7.6,1,2.8,7.6,2.69,verlaju01
4,SP,Tylor Megill (40-man),27,6,4,0.6,5.17,15,15,0,0,0,0,71.1,80,49,41,9,39,0,58,4,0,3,327,80,5.11,1.668,10.1,1.1,4.9,7.3,1.49,megilty01
5,SP,Carlos Carrasco,36,3,3,0.5,5.35,13,13,0,0,0,0,65.2,66,40,39,13,29,0,48,5,0,1,289,77,5.95,1.447,9,1.8,4,6.6,1.66,carraca01
6,SP,David Peterson*,27,2,7,0.222,6.35,13,11,0,1,0,0,56.2,69,40,40,9,24,0,63,2,0,3,256,65,4.5,1.641,11,1.4,3.8,10,2.63,peterda01
7,CL,David Robertson,38,4,2,0.667,2.13,38,0,25,0,0,13,42.1,31,13,10,5,13,1,47,2,0,4,167,195,3.66,1.039,6.6,1.1,2.8,10,3.62,roberda08
8,RP,Adam Ottavino,37,0,4,0,3.66,42,0,19,0,0,6,39.1,30,16,16,5,17,1,38,6,2,5,167,113,4.76,1.195,6.9,1.1,3.9,8.7,2.24,ottavad01
9,RP,Brooks Raley*,35,0,1,0,2.14,41,0,3,0,0,1,33.2,26,8,8,3,14,1,36,5,0,0,144,194,4,1.188,7,0.8,3.7,9.6,2.57,raleybr01
10,RP,Drew Smith,29,4,3,0.571,4.65,34,0,8,0,0,2,31,29,20,16,4,16,0,36,4,0,1,138,89,4.58,1.452,8.4,1.2,4.6,10.5,2.25,smithdr01
