Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Gerrit Cole,32,9,2,0.818,2.78,20,20,0,1,1,0,123,99,40,38,12,35,0,134,6,1,1,498,152,3.38,1.089,7.2,0.9,2.6,9.8,3.83,colege01
2,SP,Domingo Germán,30,5,6,0.455,4.52,18,18,0,1,1,0,97.2,74,55,49,17,31,0,101,6,0,2,400,93,4.62,1.075,6.8,1.6,2.9,9.3,3.26,germado01
3,SP,Clarke Schmidt,27,5,6,0.455,4.31,20,19,1,0,0,0,94,99,51,45,14,27,0,95,5,2,3,407,98,4.22,1.34,9.5,1.3,2.6,9.1,3.52,schmicl01
4,SP,Nestor Cortes* (60-day IL),28,5,2,0.714,5.16,11,11,0,0,0,0,59.1,58,35,34,10,19,0,59,3,0,0,252,82,4.6,1.298,8.8,1.5,2.9,8.9,3.11,cortene01
5,SP,Jhony Brito (40-man),25,4,4,0.5,4.7,12,11,0,0,0,0,51.2,48,30,27,8,21,0,35,2,1,0,219,90,5.28,1.335,8.4,1.4,3.7,6.1,1.67,britojh01
6,SP,Luis Severino,29,1,4,0.2,6.66,10,10,0,0,0,0,48.2,64,41,36,12,22,1,40,2,2,0,233,64,6.33,1.767,11.8,2.2,4.1,7.4,1.82,severlu01
7,CL,Clay Holmes,30,4,2,0.667,2.39,40,0,18,0,0,11,37.2,28,10,10,1,15,0,47,2,1,5,155,178,2.49,1.142,6.7,0.2,3.6,11.2,3.13,holmecl01
8,RP,Michael King,28,2,4,0.333,3.33,31,0,10,0,0,6,51.1,41,20,19,5,19,0,57,5,0,0,217,127,3.73,1.169,7.2,0.9,3.3,10,3,kingmi01
9,RP,Ron Marinaccio,27,4,5,0.444,3.61,41,0,7,0,0,2,42.1,31,20,17,4,24,0,48,5,0,2,181,117,4.3,1.299,6.6,0.9,5.1,10.2,2,marinro01
10,RP,Albert Abreu,27,2,2,0.5,4.14,33,0,13,0,0,0,41.1,34,26,19,6,21,1,46,3,0,2,182,103,4.69,1.331,7.4,1.3,4.6,10,2.19,abreual01
11,RP,Wandy Peralta*,31,2,1,0.667,2.45,43,0,10,0,0,4,36.2,25,12,10,3,21,0,30,4,2,1,155,173,4.76,1.255,6.1,0.7,5.2,7.4,1.43,peralwa01
12,,Jimmy Cordero,31,3,2,0.6,3.86,31,1,6,0,0,0,32.2,25,14,14,2,10,0,34,2,1,5,132,110,3.1,1.071,6.9,0.6,2.8,9.4,3.4,cordeji01
13,,Ian Hamilton,28,1,1,0.5,1.78,24,1,5,0,0,1,30.1,25,8,6,2,14,1,36,0,0,1,127,239,3.15,1.286,7.4,0.6,4.2,10.7,2.57,hamilia01
