Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Kevin Gausman,32,7,5,0.583,3.18,20,20,0,0,0,0,121.2,107,48,43,13,29,0,162,2,1,3,493,132,2.78,1.118,7.9,1,2.1,12,5.59,gausmke01
2,SP,Chris Bassitt,34,10,5,0.667,3.92,21,21,0,1,1,0,121.2,110,60,53,18,37,0,112,11,2,2,513,107,4.55,1.208,8.1,1.3,2.7,8.3,3.03,bassich01
3,SP,José Berríos,29,8,7,0.533,3.39,20,20,0,0,0,0,119.1,105,48,45,13,34,1,114,7,1,3,488,123,3.83,1.165,7.9,1,2.6,8.6,3.35,berrijo01
4,SP,Yusei Kikuchi*,32,7,3,0.7,3.92,20,20,0,0,0,0,103.1,100,47,45,22,31,0,108,3,0,6,433,107,4.95,1.268,8.7,1.9,2.7,9.4,3.48,kikucyu01
5,SP,Alek Manoah,25,2,8,0.2,6.18,15,15,0,0,0,0,67,76,50,46,12,47,0,56,5,3,3,323,68,6.27,1.836,10.2,1.6,6.3,7.5,1.19,manoaal01
6,CL,Jordan Romano,30,4,5,0.444,2.97,41,0,35,0,0,26,39.1,33,13,13,4,13,4,48,1,1,0,163,142,3.24,1.169,7.6,0.9,3,11,3.69,romanjo03
7,RP,Trevor Richards,30,1,1,0.5,3.1,34,3,3,0,0,0,49.1,37,18,17,8,20,0,75,2,0,1,205,136,3.69,1.155,6.8,1.5,3.6,13.7,3.75,richatr01
8,RP,Erik Swanson,29,2,2,0.5,2.93,46,0,8,0,0,2,46,31,15,15,6,17,0,51,0,0,0,180,144,3.88,1.043,6.1,1.2,3.3,10,3,swanser01
9,RP,Yimi García,32,3,3,0.5,4.57,45,0,11,0,0,2,41.1,49,23,21,5,10,1,48,3,0,0,183,92,3.48,1.427,10.7,1.1,2.2,10.5,4.8,garciyi01
10,RP,Tim Mayza*,31,1,1,0.5,1.1,44,0,7,0,0,1,32.2,28,5,4,0,6,0,33,0,0,0,126,383,1.82,1.041,7.7,0,1.7,9.1,5.5,mayzati01
11,,Nate Pearson,26,5,2,0.714,4.75,29,0,5,0,0,1,36,31,21,19,6,11,2,36,3,0,3,151,89,4.62,1.167,7.8,1.5,2.8,9,3.27,pearsna01
12,,Adam Cimber (60-day IL),32,0,2,0,7.4,22,0,6,0,0,1,20.2,25,18,17,6,7,0,12,4,0,0,95,57,7.5,1.548,10.9,2.6,3,5.2,1.71,cimbead01
13,,Anthony Bass,35,0,0,,4.95,22,0,7,0,0,0,20,19,12,11,3,9,2,19,0,0,1,88,86,4.69,1.4,8.6,1.4,4.1,8.6,2.11,bassan01
14,,Bowden Francis (40-man),27,1,0,1,2.63,6,0,2,0,0,0,13.2,11,4,4,3,4,0,12,0,2,0,55,163,5.26,1.098,7.2,2,2.6,7.9,3,francbo01
15,,Zach Pop (40-man),26,1,1,0.5,6.59,15,0,2,0,0,0,13.2,11,11,10,4,6,0,14,0,0,1,56,65,6.36,1.244,7.2,2.6,4,9.2,2.33,popza01
16,,Mitch White,28,0,0,,7.3,9,0,5,0,0,0,12.1,14,10,10,2,7,0,13,0,0,1,58,59,4.99,1.703,10.2,1.5,5.1,9.5,1.86,whitemi03
17,,Jay Jackson,35,2,0,1,0.75,9,0,3,0,0,0,12,4,1,1,1,2,0,11,0,0,0,42,574,3.04,0.5,3,0.8,1.5,8.3,5.5,jacksja01
18,,Trent Thornton (DFA),29,0,0,,1.69,4,0,0,0,0,0,5.1,7,1,1,0,1,0,5,0,0,0,22,265,1.98,1.5,11.8,0,1.7,8.4,5,thorntr01
19,,Thomas Hatch (40-man),28,0,0,,2.25,5,0,3,0,0,0,4,5,2,1,0,4,0,8,0,0,0,22,203,2.29,2.25,11.3,0,9,18,2,hatchto01
20,,Ernie Clement (40-man),27,0,0,,9,1,0,1,0,0,0,1,3,1,1,0,0,0,0,1,0,0,7,63,6.29,3,27,0,0,0,,clemeer01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
